Galaxy,Distance,Sigma, DeltaSigma , K , B-V ,M,MBH, DeltaMBHL , DeltaMBHH , HT , Ref.  
M32 , 0 ,  77.0  , 3.0 , 5.10 , 0.90  ,  9.0  , 2.4e+06 , 1.4e+06 , 3.5e+06 , E 
NGC1332 , 22 ,  328.0  , 9.0 , 7.05 , 0.93  ,  11.1  , 1.5e+09 , 1.3e+09 , 1.7e+09 , E   
NGC1374 , 19 ,  167.0  , 3.0 , 8.16 , 0.91  ,  10.6  , 5.9e+08 , 5.4e+08 , 6.5e+08 , E   
NGC1399 , 20 ,  315.0  , 3.0 , 6.31 , 0.95  ,  11.4  , 8.8e+08 , 4.4e+08 , 1.8e+09 , E   
NGC1407 , 29 ,  276.0  , 2.0 , 6.46 , 0.97  ,  11.6  , 4.6e+09 , 4.2e+09 , 5.4e+09 , E   
NGC1550 , 52 ,  270.0  , 10.0 , 8.77 , 0.96  ,  11.2  , 3.9e+09 , 3.2e+09 , 4.5e+09 , E  
NGC3091 , 53 ,  297.0  , 12.0 , 8.09 , 0.96  ,  11.5  , 3.7e+09 , 3.2e+09 , 3.8e+09 , E   
NGC3377 , 11 ,  145.0  , 7.0 , 7.16 , 0.83  ,  10.5  , 1.8e+08 , 8.5e+07 , 2.7e+08 , E   
NGC3379 , 10 ,  206.0  , 10.0 , 6.27 , 0.94  ,  10.8  , 4.2e+08 , 3.1e+08 , 5.2e+08 , E  
NGC3608 , 22 ,  182.0  , 9.0 , 7.62 , 0.92  ,  10.9  , 4.6e+08 , 3.7e+08 , 5.6e+08 , E   
NGC3842 , 92 ,  270.0  , 27.0 , 8.84 , 0.94  ,  11.6  , 9.1e+09 , 6.3e+09 , 1.1e+10 , E   
NGC4291 , 26 ,  242.0  , 12.0 , 8.42 , 0.93  ,  10.7  , 9.8e+08 , 6.7e+08 , 1.3e+09 , E   
NGC4374 , 18 ,  296.0  , 14.0 , 5.75 , 0.94  ,  11.5  , 9.2e+08 , 8.4e+08 , 1.0e+09 , E   
NGC4472 , 16 ,  300.0  , 7.0 , 4.97 , 0.94  ,  11.7  , 2.5e+09 , 2.4e+09 , 3.1e+09 , E   
NGC4473 , 15 ,  190.0  , 9.0 , 7.16 , 0.94  ,  10.8  , 9.0e+07 , 4.5e+07 , 1.4e+08 , E   
M87 , 16 ,  324.0  , 35.0 , 5.27 , 0.94  ,  11.6  , 6.2e+09 , 5.8e+09 , 6.5e+09 , E   
NGC4486B , 16 ,  185.0  , 9.0 , 10.39 , 0.99  ,  9.5  , 6.0e+08 , 4.0e+08 , 9.0e+08 , E   
