Dwarf                    Lsun  +unc  -unc dist  +unc  -unc   rhalf   +unc   -unc   disp  +unc  -unc
Sagittarius              7.34 +0.06 -0.06  26.7   1.3  -1.3  2662.0  193.0 -193.0   9.6   0.4  -0.4
Fornax                   7.28 +0.06 -0.06 139.0   3.0  -3.0   792.0   18.0  -18.0  11.7   0.9  -0.9
Leo I                    6.65 +0.11 -0.11 254.0  16.0 -15.0   270.0   17.0  -16.0   9.2   0.4  -0.4
Sculptor                 6.27 +0.06 -0.06  86.0   5.0  -5.0   279.0   16.0  -16.0   9.2   1.1  -1.1
Leo II                   5.84 +0.02 -0.02 233.0  14.0 -14.0   171.0   10.0  -10.0   7.4   0.4  -0.4
Carina                   5.72 +0.02 -0.02 106.0   5.0  -5.0   311.0   15.0  -15.0   6.6   1.2  -1.2
Antlia 2                 5.55 +0.06 -0.06 132.0   6.0  -6.0  2920.0  311.0 -311.0   5.7   1.1  -1.1
Ursa Minor               5.55 +0.02 -0.02  76.0   4.0  -4.0   405.0   21.0  -21.0   9.5   1.2  -1.2
Sextans                  5.52 +0.02 -0.02  95.0   3.0  -3.0   456.0   15.0  -15.0   7.9   1.3  -1.3
Draco                    5.49 +0.02 -0.02  82.0   6.0  -6.0   231.0   17.0  -17.0   9.1   1.2  -1.2
Canes Venatici I         5.43 +0.02 -0.02 211.0   6.0  -6.0   437.0   18.0  -18.0   7.6   0.4  -0.4
Crater II                5.22 +0.04 -0.04 117.5   1.1  -1.1  1066.0   86.0  -86.0   2.7   0.3  -0.3
Leo T                    5.14 +0.40 -0.40 409.0  29.0 -27.0   118.0   11.0  -11.0   7.5   1.6  -1.6
Eridanus II              4.78 +0.12 -0.12 366.0  17.0 -17.0   246.0   17.0  -17.0   6.9   1.2  -0.9
Bootes I                 4.35 +0.10 -0.10  66.0   2.0  -2.0   191.0    8.0   -8.0   4.6   0.8  -0.6
Hercules                 4.27 +0.07 -0.07 132.0   6.0  -6.0   216.0   20.0  -20.0   5.1   0.9  -0.9
Sagittarius II           4.02 +0.04 -0.04  70.1   2.3  -2.3    33.0    2.0   -2.0   1.7   0.5  -0.5
Canes Venatici II        4.01 +0.13 -0.13 160.0   4.0  -4.0    71.0   11.0  -11.0   4.6   1.0  -1.0
Ursa Major I             3.99 +0.15 -0.15  97.3   6.0  -5.7   295.0   28.0  -28.0   7.0   1.0  -1.0
Leo IV                   3.94 +0.10 -0.10 154.0   5.0  -5.0   114.0   13.0  -13.0   3.3   1.7  -1.7
