name,ell,b,ebv,dmod,edmod,dsun,edsun,vsun,evsun,cmw,dmw,vmw,cm31,dm31,vm31,clg,dlg,vlg
Canis Major,240,-8,0.264,14.29,0.3,7,1,87.0^c,4,13| -117,13, -117,786| -185,786, -185,394| -172,394, -172
Sagittarius dSph,5.6,-14.2,0.153,17.1,0.15,26,2,140,2,18| 169,18, 169,791| 149,791, 149,400| 159,400, 159
Segue (I),220.5,50.4,0.031,16.8,0.2,23,2,208.5,0.9,28| 113,28, 113,792| 56,792, 56,401| 69,401, 69
Ursa Major II,152.5,37.4,0.094,17.5,0.3,32,4,-116.5,1.9,38| -33,38, -33,771| 11,771, 11,380| -3,380, -3
Bootes II,353.7,68.9,0.031,18.1,0.06,42,1,-117,5.2,40| -116,40, -116,807| -174,807, -174,416| -156,416, -156
Segue II,149.4,-38.1,0.185,17.7,0.1,35,2,-39.2,2.5,41| 43,41, 43,753| 141,753, 141,361| 112,361, 112
Willman 1,158.6,56.8,0.014,17.9,0.4,38,7,-12.3,2.5,43| 35,43, 35,780| 44,780, 44,390| 41,390, 41
Coma Berenices,241.9,83.6,0.017,18.2,0.2,44,4,98.1,0.9,45| 82,45, 82,802| 32,802, 32,412| 46,412, 46
Bootes III,35.4,75.4,0.021,18.35,0.1,47,2,197.5,3.8,46| 240,46, 240,800| 207,800, 207,410| 219,410, 219
LMC,280.5,-32.9,0.926,18.52,0.09,51,2,262.2^d,3.4,50| 68,50, 68,811| -6,811, -6,421| 12,421, 12
SMC,302.8,-44.3,0.419,19.03,0.12,64,4,145.6^f,0.6,61| 5,61, 5,811| -48,811, -48,422| -35,422, -35
Bootes (I),358.1,69.6,0.017,19.11,0.08,66,2,99,2.1,64| 106,64, 106,819| 51,819, 51,430| 69,430, 69
Draco,86.4,34.7,0.027,19.4,0.17,76,6,-291,0.1,76| -96,76, -96,754| -32,754, -32,366| -46,366, -46
Ursa Minor,105,44.8,0.032,19.4,0.1,76,3,-246.9,0.1,78| -85,78, -85,758| -31,758, -31,370| -44,370, -44
Sculptor,287.5,-83.2,0.018,19.67,0.14,86,6,111.4,0.1,86| 79,86, 79,765| 106,765, 106,379| 97,379, 97
Sextans (I),243.5,42.3,0.047,19.67,0.1,86,4,224.2,0.1,89| 72,89, 72,839| -14,839, -14,450| 6,450, 6
Ursa Major (I),159.4,54.4,0.02,19.93,0.1,97,4,-55.3,1.4,102| -7,102, -7,777| 4,777, 4,391| 0,391, 0
Carina,260.1,-22.2,0.061,20.11,0.13,105,6,222.9,0.1,107| 7,107, 7,841| -70,841, -70,454| -53,454, -53
Hercules,28.7,36.9,0.063,20.6,0.2,132,12,45.2,1.1,126| 145,126, 145,826| 133,826, 133,444| 141,444, 141
Fornax,237.1,-65.7,0.021,20.84,0.18,147,12,55.3,0.1,149| -33,149, -33,772| -24,772, -24,394| -30,394, -30
Leo IV,264.4,57.4,0.026,20.94,0.09,154,6,132.3,1.4,155| 13,155, 13,899| -78,899, -78,513| -54,513, -54
Canes Venatici II,113.6,82.7,0.01,21.02,0.06,160,4,-128.9,1.2,161| -95,161, -95,837| -122,837, -122,458| -113,458, -113
Leo V,261.9,58.5,0.027,21.25,0.12,178,10,173.3,3.1,179| 59,179, 59,915| -30,915, -30,530| -7,530, -7
Pisces II,79.2,-47.1,0.065,21.30:,,182:00:00,, ... , ... ,181|  - ,181,  - ,660|  - ,660,  - ,285|  - ,285,  - 
Canes Venatici (I),74.3,79.8,0.014,21.69,0.1,218,10,30.9,0.6,218| 78,218, 78,864| 54,864, 54,493| 62,493, 62
Leo II,220.2,67.2,0.017,21.84,0.13,233,14,78,0.1,236| 24,236, 24,901| -29,901, -29,529| -16,529, -16
Leo I,226,49.1,0.036,22.02,0.13,254,15,282.5,0.1,258| 174,258, 174,922| 111,922, 111,551| 125,551, 125
Andromeda,121.2,-21.6,0.684,24.47,0.07,783,25,-300,4,787| -122,787, -122,0| 0,0, 0,392| -34,392, -34
M32,121.2,-22,0.154,24.53,0.21,805,78,-199,6,809| -22,809, -22,23| 100,23, 100,414| 67,414, 67
Andromeda IX,123.2,-19.7,0.075,24.42,0.07,766,25,-207.7,2.7,770| -32,770, -32,40| 90,40, 90,375| 56,375, 56
NGC 205,120.7,-21.1,0.085,24.58,0.07,824,27,-246,1,828| -67,828, -67,42| 56,42, 56,433| 22,433, 22
Andromeda XVII,120.2,-18.5,0.074,24.5,0.1,794,37, ... , ... ,798|  - ,798,  - ,45|  - ,45,  - ,404|  - ,404,  - 
Andromeda I,121.7,-24.8,0.053,24.36,0.07,745,24,-375.8,1.4,749| -204,749, -204,58| -82,58, -82,355| -116,355, -116
Andromeda XXVII,120.4,-17.4,0.08,24.59,0.12,828,46, ... , ... ,832|  - ,832,  - ,75|  - ,75,  - ,439|  - ,439,  - 
Andromeda III,119.4,-26.3,0.056,24.37,0.07,748,24,-345.6,1.8,752| -171,752, -171,75| -49,75, -49,360| -83,360, -83
Andromeda XXV,119.2,-15.9,0.101,24.55,0.12,813,45, ... , ... ,817|  - ,817,  - ,88|  - ,88,  - ,426|  - ,426,  - 
