Dwarf,MV,uMV,dMV,r2,ur2,dr2,dist,udist,ddist,Vhel,uVhel,dVhel,sigma,udsig,ddsig,[Fe/H],d[Fe/H]+,d[Fe/H]-,sigFe/H,dsigFe/H+,dsigFe/H-,appmag,lum,notes
Pegasus IV,-4.25,0.2,-0.2,41,8,-6,90,4,-6,0,0,0,3.3,1.7,-1.1,-2.67,0.25,-0.29,0.46,0.29,-0.17,0,2800,Cerny2022a
Delve 3,-1.3,0.4,-0.6,7,2,-2,56,2,-6,0,0,0,0,0,0,-1.4,0,-2,0,0,0,0,0,Cerny2022b
Delve 4,-0.2,0.5,-0.8,5,1,-1,45,4,-4,0,0,0,0,0,0,-1.9,0.,-2,0,0,0,0,0,Cerny2022b
Virgo II,-1.6,0.4,-0.6,16,+3,-3,72,8,-7,0,0,0,0,0,0,-1.9,0,-2,0,0,0,0,0,Cerny2022b
Delve 5,0.4,0.4,-0.9,5,1,-1,39,3,-3,0,0,0,0,0,0,-2.2,0,-2,0,0,0,0,0,Cerny2022b
Bootes V,-3.2,0.3,-0.3,20,2,-2,102,7,-7,0,0,0,0,0,0,-2.2,0,-2,0,0,0,0,0,Cerny2022b
Leo Minor I,-2.4,0.5,-0.4,26,9,-9,82,4,-7,0,0,0,0,0,0,-1.9,0,-2,0,0,0,0,0,Cerny2022b
Antlia 2,-9.03,0.15,-0.15,2920,311,-311,132,6,-6,290.7,0.5,-0.5,5.71,1.08,-1.08,-1.36,0.04,-0.04,0,0,0,11.57,
Tucana IV,-3.5,0.28,-0.28,127,26,-22,48,4,-4,15.9,1.8,-1.7,4.3,1.7,-1,-2.49,0.15,-0.16,0,0,0,14.91,
Sculptor,-10.82,0.14,-0.14,279,16,-16,86,5,-5,111.4,0.1,-0.1,9.2,1.1,-1.1,-1.73,0.03,-0.02,0.44,0.02,-0.02,8.85,
Cetus II,0,0.68,-0.68,17,9,-5,30,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,17.39,
Cetus III,-2.45,0.57,-0.56,90,32,-14,251,24,-11,0,0,0,0,0,0,0,0,0,0,0,0,19.55,
Triangulum II,-1.6,0.76,-0.76,16,4,-4,28.4,1.6,-1.6,-381.7,1.1,-1.1,3.4,-9.9,-9.9,-2.24,0.05,-0.05,0.53,0.12,-0.38,15.67,
Segue 2,-1.98,0.88,-0.88,40,4,-4,37,3,-3,-40.2,0.9,-0.9,2.2,-9.9,-9.9,-2.14,0.16,-0.15,0.39,0.12,-0.13,15.86,
DESJ0225+0304,-1.1,0.5,-0.3,19,9,-5,23.8,0.7,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,15.78,
Hydrus I,-4.71,0.08,-0.08,53,4,-4,27.6,0.5,-0.5,80.4,0.6,-0.6,2.7,0.5,-0.4,-2.52,0.09,-0.09,0.41,0.08,-0.08,12.49,LMCErkal20
Fornax,-13.34,0.14,-0.14,792,18,-18,139,3,-3,55.2,0.1,-0.1,11.7,0.9,-0.9,-1.07,0.02,-0.01,0.27,0.01,-0.01,7.38,
Horologium I,-3.76,0.56,-0.56,40,1,-9,87,13,-11,112.8,2.5,-2.6,4.9,2.8,-0.9,-2.76,0.1,-0.1,0.17,0.2,-0.03,15.94,LMCErkal20
Horologium II,-1.56,1.02,-1.02,44,15,-14,78,8,-7,168.7,12.9,-12.6,54.6,0,0,-1.87,0.36,-0.5,1.93,0,-1.93,17.9,
Reticulum II,-3.88,0.38,-0.38,51,3,-3,31.6,1.5,-1.4,62.8,0.5,-0.5,3.3,0.7,-0.7,-2.65,0.07,-0.07,0.28,0.09,-0.09,13.62,LMCErkal20
Eridanus II,-7.1,0.3,-0.3,246,17,-17,366,17,-17,75.6,1.3,-1.3,6.9,1.2,-0.9,-2.38,0.13,-0.13,0.47,0.12,-0.09,15.72,
Reticulum III,-3.3,0.29,-0.29,64,26,-23,92,13,-13,274.2,7.5,-7.4,31.2,0,0,-2.81,0.29,-0.29,0.35,0.21,-0.09,16.52,
Pictor I,-3.67,0.6,-0.6,32,15,-15,126,19,-16,0,0,0,0,0,0,0,0,0,0,0,0,16.83,
Columba I,-4.2,0.2,-0.2,117,12,-12,183,10,-10,153.7,5,-4.8,16.1,0,0,-2.37,0.35,-0.34,0.71,0.49,-0.24,17.11,
Carina,-9.45,0.05,-0.05,311,15,-15,106,5,-5,222.9,0.1,-0.1,6.6,1.2,-1.2,-1.8,0.02,-0.02,0.24,9.99,0,10.68,
Pictor II,-3.2,0.4,-0.5,47,20,-13,45,5,-4,0,0,0,0,0,0,0,0,0,0,0,0,15.07,
Carina II,-4.5,0.1,-0.1,92,8,-8,36.2,0.6,-0.6,477.2,1.2,-1.2,3.4,1.2,-0.8,-2.44,0.09,-0.09,0.22,0.1,-0.07,13.29,LMCErkal20
Carina III,-2.4,0.2,-0.2,30,8,-8,27.8,0.6,-0.6,284.6,3.4,-3.1,5.6,4.3,-2.1,0,0,0,0,0,0,14.82,LMCErkal20
Ursa Major II,-4.43,0.26,-0.26,139,9,-9,34.7,2,-1.9,-116.5,1.9,-1.9,5.6,1.4,-1.4,-2.23,0.21,-0.24,0.67,0.2,-0.15,13.27,
