stream,dhel,ddhel,udhel,widthLi,Nmem,sigma,dsigma,usigma,Nrgb,FeH,dFeH,uFeH,sigFeH,dsigFeH,usigFeH,msFeH,progenitor,notes,widthPatrick
300S,17.2,0,0,110,53 ,2.5,-0.3,+0.4, 52 ,-1.26,-0.03,+0.03,0.04,-0.02,+0.04, 0.11 , GC, LiS5 , - 
Ophiuchus,7.9,0,0,8,118 ,2.4,-0.3,+0.3, 37 , -1.80,-0.03,+0.03 , 0.03,-0.01,+0.03 , 0.09 , GC, LiS5 , 9
WillkaYaku,36.3,0,0, 127,9 ,  0.4,-0.4,+0.8 ,7 , -2.05,-0.07,+0.07 , 0.04,-0.02,+0.07 , 0.18 , GC, LiS5 , 83
AAU, 23.8,0,0,96, 85 ,  4.3,-0.4,+0.4 , 66 , -2.22,-0.02,+0.02 , 0.05,-0.03,+0.05 , 0.13 , GC, LiS5 , -
Jet,30.4,0,0,90, 32 ,  0.7,-0.5,+0.4 , 29 , -2.38,-0.03,+0.03 , 0.04,-0.02,+0.05 , 0.12 , GC, LiS5, - 
Phoenix,17.9,0,0,53, 26 ,  2.5,-0.7,+0.7 , 20 , -2.62,-0.05,+0.05 , 0.03,-0.02,+0.05 , 0.13 , GC, LiS5, 41
Orphan,17.1,0,0,747, 58 ,  4.1,-0.5,+0.5 , 49 , -1.85,-0.07,+0.07 , 0.42,-0.06,+0.07 , 0.53 , DG,Leo II LiS5 , -
Chenab,32.8,0,0, 493,125 ,  4.5,-0.3,+0.5 ,109 , -1.78,-0.04,+0.04 , 0.28,-0.03,+0.03 , 0.34 , DG,Leo II LiS5, 400
Jhelum,12.0,0,0, 267, 95 , 13.7,-1.1,+1.2 , 39 , -1.83,-0.05,+0.05 , 0.25,-0.04,+0.05 , 0.34 , DG,Leo II LiS5, 240
Indus, 15.2,0,0, 240, 75 ,  7.6,-0.6,+0.7 , 66 , -1.96,-0.05,+0.05 , 0.33,-0.04,+0.05 , 0.41 , DG, Draco LiS5, 260
Palca,36.3,0,0,1000, 42 , 13.4,-1.4,+1.9 , 32 , -2.02,-0.04,+0.04 , 0.13,-0.07,+0.06 , 0.23 , DG, Draco LiS5, -
Elqui,51.0, 0,0,472, 34 , 16.2,-2.1,+2.3 , 33 , -2.22,-0.06,+0.06 , 0.27,-0.05,+0.06 , 0.37 , DG,Ursa Major I LiS5, 550
Turranburra,26.3, 0,0,288, 22 , 19.7,-3.0,+3.9 , 15 , -2.18,-0.14,+0.13 , 0.39,-0.09,+0.12 , 0.62 , DG,Ursa Major I LiS5, 250
Aliqa Uma
ATLAS
Tucana III
Pal5
Triangulum
