name     ,alt_name   ,ra         ,dec        ,vmag,bv_color,helio_distance,metallicity,radial_velocity,radial_velocity_error,central_sigma_v,central_sigma_v_error,half_light_radius,,rhalf,MV
IC 4499  ,           ,15 00 18.45,-82 12 49.3,9.76,0.91,18.8,-1.53,31.5,0.2,2.5,0.5,1.71,0.000248709,9.351466041,-6.610789246
E 3      ,           ,09 20 57.07,-77 16 54.8,11.35,        ,8.1,-0.83,               ,                     ,               ,                     ,2.1,0.000305432,4.948004096,-3.192425094
NGC 4372 ,           ,12 25 45.40,-72 39 32.4,7.24,1.1,5.8,-2.17,72.3,1.2,               ,                     ,3.91,0.000568686,6.596756513,-6.577139968
NGC 6101 ,           ,16 25 48.12,-72 12 07.9,9.16,0.68,15.4,-1.98,361.4,1.7,               ,                     ,1.05,0.000152716,4.703658325,-6.777603604
NGC 104  ,47 Tuc     ,00 24 05.67,-72 04 52.6,3.95,0.88,4.5,-0.72,-18,0.1,11,0.3,3.17,0.000461057,4.149516498,-9.316062569
NGC 4833 ,           ,12 59 33.92,-70 52 35.4,6.91,0.93,6.6,-1.85,200.2,1.2,               ,                     ,2.41,0.00035052,4.626863749,-7.187719678
NGC 362  ,           ,01 03 14.26,-70 50 55.6,6.4,0.77,8.6,-1.26,223.5,0.5,6.4,0.3,0.82,0.000119264,2.051341905,-8.272492256
NGC 6362 ,           ,17 31 54.99,-67 02 54.0,7.73,0.85,7.6,-0.99,-13.1,0.6,2.8,0.4,2.05,0.00029816,4.532034329,-6.674067961
NGC 2808 ,           ,09 12 03.10,-64 51 48.6,6.2,0.92,9.6,-1.14,101.6,0.7,13.4,1.2,0.8,0.000116355,2.234019545,-8.711356165
NGC 6752 ,           ,19 10 52.11,-59 59 04.4,5.4,0.66,4,-1.54,-26.7,0.2,4.9,0.4,1.91,0.000277798,2.22238398,-7.610299957
Lynga 7  ,BH184      ,16 11 03.65,-55 19 04.0,10.18,        ,8,-1.01,8,5,               ,                     ,1.2,0.000174533,2.792524416,-4.335449935
NGC 1261 ,           ,03 12 16.21,-55 12 58.4,8.29,0.72,16.3,-1.27,68.2,4.6,               ,                     ,0.68,9.89019E-05,3.224202171,-7.770938022
NGC 6397 ,           ,17 40 42.09,-53 40 27.6,5.73,0.73,2.3,-2.02,18.8,0.1,4.5,0.2,2.9,0.000421788,1.940222598,-6.07863918
NGC 6584 ,           ,18 18 37.60,-52 12 56.8,8.27,0.76,13.5,-1.5,222.9,15,               ,                     ,0.73,0.000106174,2.866700864,-7.381668842
NGC 5286 ,           ,13 46 26.81,-51 22 27.3,7.34,0.88,11.7,-1.69,57.4,1.5,8.1,1,0.73,0.000106174,2.484474082,-8.000929309
Rup 106  ,           ,12 38 40.20,-51 09 01.0,10.9,        ,21.2,-1.68,-44,3,               ,                     ,1.05,0.000152716,6.475166005,-5.731679305
NGC 5927 ,           ,15 28 00.69,-50 40 22.9,8.01,1.31,7.7,-0.49,-107.5,0.9,               ,                     ,1.1,0.000159988,2.463821025,-6.422453626
NGC 5946 ,           ,15 35 28.52,-50 39 34.8,9.61,1.29,10.6,-1.29,128.4,1.8,4,2.9,0.89,0.000129445,2.744237027,-5.516529326
BH 176   ,           ,15 39 07.45,-50 03 09.8,14,        ,18.9,0,               ,                     ,               ,                     ,0.9,0.0001309,4.948004222,-2.382309021
AM 1     ,E 1        ,03 55 02.30,-49 36 55.0,15.72,0.72,123.3,-1.7,116,20,               ,                     ,0.41,5.9632E-05,14.70525917,-4.734815383
NGC 6352 ,           ,17 25 29.11,-48 25 19.8,7.96,1.06,5.6,-0.64,-137,1.1,               ,                     ,2.05,0.00029816,3.339393716,-5.780940135
NGC 5139 ,omega Cen  ,13 26 47.24,-47 28 46.5,3.68,0.78,5.2,-1.53,232.1,0.1,16.8,0.3,5,0.00072722,7.563085704,-9.900016718
FSR 1735 ,           ,16 52 10.60,-47 03 29.0,12.9,        ,9.8,           ,               ,                     ,               ,                     ,0.34,4.9451E-05,0.969238692,-2.056130378
ESO-SC06 ,ESO280-SC06,18 09 06.00,-46 25 23.0,12,        ,21.4,-1.8,               ,                     ,               ,                     ,1.05,0.000152716,6.536252477,-4.652068867
NGC 3201 ,           ,10 17 36.82,-46 24 44.9,6.75,0.96,4.9,-1.59,494,0.2,5,0.2,3.1,0.000450876,4.418587858,-6.7009804
NGC 6388 ,           ,17 36 17.23,-44 44 07.8,6.72,1.17,9.9,-0.55,80.1,0.8,18.9,0.8,0.52,7.56309E-05,1.49749123,-8.258175973
NGC 6496 ,           ,17 59 03.68,-44 15 57.4,8.54,0.98,11.3,-0.46,-112.7,5.7,               ,                     ,1.02,0.000148353,3.352774637,-6.725392217
